name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
Five-SeveN | Urban Hazard,Operation Vanguard Weapon Case,Mil-Spec,18.69,FN,C5,,False,Restricted,10.0,170.565,崭新,17.0565,18.69,-1.6335000000000015,-0.08739967897271275
Desert Eagle | Bronze Deco,Chroma 2 Case,Mil-Spec,4.35,FN,BUFF,,False,Restricted,10.0,25.522499999999997,崭新,2.55225,4.35,-1.7977499999999997,-0.4132758620689655
MP7 | Akoben,Spectrum Case,Mil-Spec,4.8,FN,YOUPIN,,False,Restricted,10.0,29.494,崭新,2.9494,4.8,-1.8506,-0.38554166666666667
CZ75-Auto | Vendetta,Operation Broken Fang Case,Mil-Spec,15.0,FN,BUFF,,False,Restricted,10.0,130.804,崭新,13.080400000000001,15.0,-1.919599999999999,-0.12797333333333327
SCAR-20 | Blueprint,Spectrum Case,Mil-Spec,4.87,FN,BUFF,,False,Restricted,10.0,29.494,崭新,2.9494,4.87,-1.9206000000000003,-0.3943737166324436
Five-SeveN | Capillary,Spectrum Case,Mil-Spec,4.88,FN,BUFF,,False,Restricted,10.0,29.494,崭新,2.9494,4.88,-1.9306,-0.39561475409836067
CZ75-Auto | Circaetus,Snakebite Case,Mil-Spec,6.49,FN,BUFF,,False,Restricted,10.0,45.263999999999996,崭新,4.5264,6.49,-1.9636000000000005,-0.30255778120184906
G3SG1 | Black Sand,Shattered Web Case,Mil-Spec,17.42,FN,C5,,False,Restricted,10.0,153.79000000000002,崭新,15.379000000000001,17.42,-2.0410000000000004,-0.11716417910447763
MAG-7 | Popdog,CS20 Case,Mil-Spec,4.04,FN,C5,,False,Restricted,10.0,19.8,崭新,1.98,4.04,-2.06,-0.5099009900990099
Tec-9 | Flash Out,CS20 Case,Mil-Spec,4.05,FN,C5,,False,Restricted,10.0,19.8,崭新,1.98,4.05,-2.07,-0.5111111111111111
Nova | Wood Fired,Danger Zone Case,Mil-Spec,3.86,FN,YOUPIN,,False,Restricted,10.0,16.64,崭新,1.6640000000000001,3.86,-2.1959999999999997,-0.5689119170984456
Glock-18 | Umbral Rabbit,Revolution Case,Restricted,13.35,FN,BUFF,,False,Classified,10.0,111.24666666666667,崭新,11.124666666666666,13.35,-2.2253333333333334,-0.16669163545568041
M249 | Magma,Winter Offensive Weapon Case,Mil-Spec,10.11,FN,BUFF,,False,Restricted,10.0,78.45,崭新,7.845000000000001,10.11,-2.264999999999999,-0.22403560830860522
USP-S | Ticket to Hell,Dreams & Nightmares Case,Restricted,14.5,FN,BUFF,,False,Classified,10.0,122.29666666666667,崭新,12.229666666666667,14.5,-2.2703333333333333,-0.15657471264367817
Tec-9 | Ice Cap,Gamma Case,Mil-Spec,5.6,FN,BUFF,,False,Restricted,10.0,32.778,崭新,3.2778,5.6,-2.3221999999999996,-0.4146785714285714
Sawed-Off | Black Sand,Danger Zone Case,Mil-Spec,3.99,FN,BUFF,,False,Restricted,10.0,16.64,崭新,1.6640000000000001,3.99,-2.326,-0.5829573934837092
AK-47 | Uncharted,Prisma Case,Mil-Spec,13.9,FN,BUFF,,False,Restricted,10.0,115.18,崭新,11.518,13.9,-2.3819999999999997,-0.1713669064748201
MP7 | Cirrus,Glove Case,Mil-Spec,11.07,FN,YOUPIN,,False,Restricted,10.0,86.34,崭新,8.634,11.07,-2.436,-0.22005420054200542
SG 553 | Pulse,Operation Phoenix Weapon Case,Restricted,68.0,MW,BUFF,,False,Classified,10.0,655.5933333333334,略磨,65.55933333333334,68.0,-2.440666666666658,-0.035892156862744974
SG 553 | Cyberforce,Revolution Case,Mil-Spec,4.18,FN,C5,,False,Restricted,10.0,16.686,崭新,1.6686,4.18,-2.5113999999999996,-0.6008133971291866
Sawed-Off | Limelight,Gamma Case,Restricted,39.8,FN,BUFF,,False,Classified,10.0,372.32666666666665,崭新,37.23266666666667,39.8,-2.5673333333333304,-0.06450586264656609
P2000 | Urban Hazard,Clutch Case,Mil-Spec,4.47,FN,BUFF,,False,Restricted,10.0,18.166,崭新,1.8166,4.47,-2.6533999999999995,-0.5936017897091722
MAG-7 | Insomnia,Revolution Case,Mil-Spec,4.34,FN,C5,,False,Restricted,10.0,16.686,崭新,1.6686,4.34,-2.6713999999999998,-0.6155299539170507
MAC-10 | Last Dive,Spectrum Case,Restricted,30.0,FN,BUFF,,False,Classified,10.0,272.78333333333336,崭新,27.278333333333336,30.0,-2.721666666666664,-0.09072222222222213
R8 Revolver | Reboot,Gamma Case,Restricted,40.0,FN,BUFF,,False,Classified,10.0,372.32666666666665,崭新,37.23266666666667,40.0,-2.767333333333333,-0.06918333333333333
