name,exterior,price
Sawed-Off | Orange DDPAT,FN,649.5
Sawed-Off | Origami,FN,2.96
Sawed-Off | Serenity,FN,44.0
Sawed-Off | Spirit Board,FN,4.49
Sawed-Off | The Kraken,FN,565.0
Sawed-Off | Wasteland Princess,FN,639.5
Sawed-Off | Yorick,FN,9.8
Tec-9 | Avalanche,FN,99.77
Tec-9 | Bamboozle,FN,25.89
Tec-9 | Blue Titanium,FN,20.99
Tec-9 | Cracked Opal,FN,8.6
Tec-9 | Cut Out,FN,86.0
Tec-9 | Flash Out,FN,3.95
Tec-9 | Fubar,MW,14.0
Tec-9 | Ice Cap,FN,5.52
Tec-9 | Isaac,FN,102.5
Tec-9 | Re-Entry,FN,20.59
Tec-9 | Rebel,FN,4.63
Tec-9 | Sandstorm,MW,14.8
Tec-9 | Snek-9,FN,9.9
UMP-45 | Briefing,FN,6.3
UMP-45 | Corporal,FN,15.0
UMP-45 | Exposure,FN,20.0
UMP-45 | Gold Bismuth,FN,100.0
UMP-45 | Grand Prix,FT,9.97
UMP-45 | Labyrinth,FN,5.98
UMP-45 | Metal Flowers,FN,48.78
UMP-45 | Momentum,FN,97.64
UMP-45 | Moonrise,FN,14.69
UMP-45 | Oscillator,FN,3.39
UMP-45 | Plastique,FN,16.78
UMP-45 | Primal Saber,FN,209.0
UMP-45 | Riot,FN,5.7
UMP-45 | Roadblock,FN,4.47
UMP-45 | Wild Child,FN,113.5
USP-S | Blood Tiger,FN,52.98
USP-S | Blueprint,FN,278.95
USP-S | Cortex,FN,174.0
USP-S | Cyrex,FN,69.9
USP-S | Dark Water,MW,700.0
USP-S | Flashback,FN,13.96
USP-S | Kill Confirmed,FN,2632.2
USP-S | Monster Mashup,FN,837.0
USP-S | Neo-Noir,FN,973.9
USP-S | Overgrowth,FN,639.5
USP-S | Printstream,FN,854.99
USP-S | The Traitor,FN,1154.5
USP-S | Ticket to Hell,FN,14.85
USP-S | Torque,FN,12.0
XM1014 | Black Tie,FN,23.8
XM1014 | Heaven Guard,FN,95.9
XM1014 | Quicksilver,FN,6.19
XM1014 | Red Python,MW,19.7
XM1014 | Scumbria,FN,9.88
XM1014 | Slipstream,FN,3.87
XM1014 | Teclu Burner,FN,40.0
XM1014 | XOXO,FN,158.98
XM1014 | Ziggy,FN,20.89
XM1014 | Zombie Offensive,FN,11.58
★ Bayonet | Autotronic,FN,4288.0
★ Bayonet | Black Laminate,FN,2100.0
★ Bayonet | Black Laminate,MW,1216.99
★ Bayonet | Blue Steel,FN,3200.0
★ Bayonet | Boreal Forest,FN,4701.63
★ Bayonet | Bright Water,FN,1349.5
★ Bayonet | Case Hardened,FN,4888.88
★ Bayonet | Crimson Web,FN,15000.0
★ Bayonet | Damascus Steel,FN,1493.5
★ Bayonet | Doppler,FN,2850.0
★ Bayonet | Fade,FN,2863.0
★ Bayonet | Forest DDPAT,FN,4000.0
★ Bayonet | Forest DDPAT,FT,797.75
★ Bayonet | Freehand,FN,1380.0
★ Bayonet | Gamma Doppler,FN,3899.5
★ Bayonet | Lore,FN,3400.0
★ Bayonet | Marble Fade,FN,2749.0
★ Bayonet | Night,FN,7000.0
★ Bayonet | Rust Coat,WW,1099.0
★ Bayonet | Safari Mesh,MW,902.0
★ Bayonet | Scorched,MW,1071.0
★ Bayonet | Slaughter,FN,2843.55
★ Bayonet | Stained,FN,1893.55
★ Bayonet | Stained,MW,1173.0
★ Bayonet | Tiger Tooth,FN,2098.0
★ Bayonet | Ultraviolet,FN,4100.0
★ Bayonet | Urban Masked,MW,1166.0
★ Bloodhound Gloves | Bronzed,FN,10967.27
★ Bloodhound Gloves | Charred,FN,6333.0
★ Bloodhound Gloves | Guerrilla,FN,8800.0
★ Bloodhound Gloves | Snakebite,FN,4300.0
★ Bowie Knife | Autotronic,FN,1249.25
★ Bowie Knife | Black Laminate,FN,827.0
★ Bowie Knife | Blue Steel,FN,1800.0
★ Bowie Knife | Boreal Forest,FN,1398.0
★ Bowie Knife | Bright Water,FN,537.0
★ Bowie Knife | Case Hardened,FN,3879.0
★ Bowie Knife | Crimson Web,FN,15000.0
★ Bowie Knife | Damascus Steel,FN,777.95
★ Bowie Knife | Doppler,FN,2100.0
★ Bowie Knife | Fade,FN,1769.5
★ Bowie Knife | Forest DDPAT,FN,1180.0
★ Bowie Knife | Freehand,FN,629.0
★ Bowie Knife | Gamma Doppler,FN,1448.0
★ Bowie Knife | Lore,FN,1493.0
★ Bowie Knife | Lore,FT,663.0
★ Bowie Knife | Marble Fade,FN,1350.0
★ Bowie Knife | Night,MW,950.0
★ Bowie Knife | Rust Coat,WW,614.0
★ Bowie Knife | Safari Mesh,MW,493.0
★ Bowie Knife | Scorched,FN,1396.87
★ Bowie Knife | Slaughter,FN,1689.0
★ Bowie Knife | Stained,FN,1110.98
★ Bowie Knife | Tiger Tooth,FN,1000.0
★ Bowie Knife | Tiger Tooth,MW,1799.99
★ Bowie Knife | Ultraviolet,FN,3403.94
★ Bowie Knife | Urban Masked,FN,1380.0
★ Broken Fang Gloves | Jade,FN,4899.5
★ Broken Fang Gloves | Needle Point,FN,2188.0
★ Broken Fang Gloves | Unhinged,FN,2498.4
★ Butterfly Knife | Autotronic,FN,13200.0
★ Butterfly Knife | Black Laminate,FN,6880.0
★ Butterfly Knife | Blue Steel,FN,8688.0
★ Butterfly Knife | Boreal Forest,FN,8000.0
★ Butterfly Knife | Bright Water,FN,4763.75
★ Butterfly Knife | Case Hardened,FN,9500.0
★ Butterfly Knife | Crimson Web,FN,37999.0
★ Butterfly Knife | Damascus Steel,FN,6140.0
★ Butterfly Knife | Doppler,FN,17695.0
★ Butterfly Knife | Fade,FN,20899.0
★ Butterfly Knife | Forest DDPAT,FN,6788.0
★ Butterfly Knife | Freehand,FN,5078.0
★ Butterfly Knife | Gamma Doppler,FN,17199.0
★ Butterfly Knife | Lore,FN,19888.0
★ Butterfly Knife | Marble Fade,FN,11099.5
★ Butterfly Knife | Night,FN,9799.5
★ Butterfly Knife | Rust Coat,WW,3920.0
★ Butterfly Knife | Safari Mesh,FN,6500.0
★ Butterfly Knife | Scorched,FN,7000.0
★ Butterfly Knife | Slaughter,FN,11749.5
★ Butterfly Knife | Stained,FN,6533.0
★ Butterfly Knife | Tiger Tooth,FN,8800.0
★ Butterfly Knife | Ultraviolet,FN,14500.0
★ Butterfly Knife | Urban Masked,FN,6088.0
★ Classic Knife | Blue Steel,FN,1228.5
★ Classic Knife | Boreal Forest,FN,2300.0
★ Classic Knife | Case Hardened,FN,2298.5
★ Classic Knife | Crimson Web,FN,7755.0
★ Classic Knife | Fade,FN,2049.0
★ Classic Knife | Forest DDPAT,FN,1899.0
★ Classic Knife | Night Stripe,FN,3199.5
