name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
CZ75-Auto | Polymer,Glove Case,Mil-Spec,10.52,FN,YOUPIN,,False,Restricted,10.0,88.03399999999999,崭新,7.482889999999999,10.52,-3.03711,-0.28869866920152093
P250 | Re.built,Revolution Case,Mil-Spec,4.55,FN,C5,,False,Restricted,10.0,17.7775,崭新,1.5110875,4.55,-3.0389125,-0.6678928571428572
UMP-45 | Roadblock,Recoil Case,Mil-Spec,4.47,FN,BUFF,,False,Restricted,10.0,16.578,崭新,1.4091299999999998,4.47,-3.06087,-0.684758389261745
MAC-10 | Ensnared,Dreams & Nightmares Case,Mil-Spec,4.39,FN,YOUPIN,,False,Restricted,10.0,15.565999999999999,崭新,1.32311,4.39,-3.06689,-0.6986082004555809
Negev | Drop Me,Recoil Case,Mil-Spec,4.5,FN,C5,,False,Restricted,10.0,16.578,崭新,1.4091299999999998,4.5,-3.0908700000000002,-0.68686
Glock-18 | Winterized,Recoil Case,Mil-Spec,4.51,FN,YOUPIN,,False,Restricted,10.0,16.578,崭新,1.4091299999999998,4.51,-3.10087,-0.6875543237250554
Tec-9 | Rebel,Revolution Case,Mil-Spec,4.63,FN,C5,,False,Restricted,10.0,17.7775,崭新,1.5110875,4.63,-3.1189125,-0.6736312095032397
Sawed-Off | Fubar,Chroma 3 Case,Mil-Spec,9.52,WW,YOUPIN,,False,Restricted,10.0,75.2175,破损,6.3934875,9.52,-3.1265124999999996,-0.32841517857142855
Sawed-Off | Spirit Board,Dreams & Nightmares Case,Mil-Spec,4.49,FN,BUFF,,False,Restricted,10.0,15.565999999999999,崭新,1.32311,4.49,-3.1668900000000004,-0.7053207126948776
P2000 | Lifted Spirits,Dreams & Nightmares Case,Mil-Spec,4.5,FN,C5,,False,Restricted,10.0,15.565999999999999,崭新,1.32311,4.5,-3.17689,-0.7059755555555556
UMP-45 | Plastique,CS20 Case,Restricted,16.78,FN,BUFF,,False,Classified,10.0,159.33333333333334,崭新,13.543333333333333,16.78,-3.236666666666668,-0.19288835915772753
Sawed-Off | Black Sand,Danger Zone Case,Mil-Spec,4.76,FN,BUFF,,False,Restricted,10.0,17.868000000000002,崭新,1.51878,4.76,-3.2412199999999998,-0.6809285714285714
Dual Berettas | Dezastre,Operation Broken Fang Case,Restricted,118.9,FN,YOUPIN,,False,Classified,10.0,1360.3333333333333,崭新,115.62833333333333,118.9,-3.2716666666666754,-0.027516119988786166
G3SG1 | Digital Mesh,Operation Broken Fang Case,Mil-Spec,14.68,FN,BUFF,,False,Restricted,10.0,133.756,崭新,11.36926,14.68,-3.310739999999999,-0.22552724795640322
MP5-SD | Liquidation,Revolution Case,Mil-Spec,4.89,FN,BUFF,,False,Restricted,10.0,17.7775,崭新,1.5110875,4.89,-3.3789124999999998,-0.6909841513292434
MAC-10 | Monkeyflage,Recoil Case,Mil-Spec,4.79,FN,BUFF,,False,Restricted,10.0,16.578,崭新,1.4091299999999998,4.79,-3.3808700000000003,-0.7058183716075157
M249 | Downtown,Recoil Case,Restricted,12.0,FN,BUFF,,False,Classified,10.0,101.35000000000001,崭新,8.61475,12.0,-3.385249999999999,-0.2821041666666666
P90 | Vent Rush,Recoil Case,Restricted,12.0,FN,YOUPIN,,False,Classified,10.0,101.35000000000001,崭新,8.61475,12.0,-3.385249999999999,-0.2821041666666666
Sawed-Off | Morris,Spectrum 2 Case,Mil-Spec,5.1,FN,YOUPIN,,False,Restricted,10.0,20.15,崭新,1.7127499999999998,5.1,-3.38725,-0.6641666666666667
Dual Berettas | Urban Shock,Chroma Case,Restricted,44.66,FN,BUFF,,False,Classified,10.0,485.5,崭新,41.2675,44.66,-3.3924999999999983,-0.07596283027317507
P250 | Verdigris,Prisma Case,Mil-Spec,7.14,FN,BUFF,,False,Restricted,10.0,43.98199999999999,崭新,3.7384699999999995,7.14,-3.40153,-0.47640476190476194
Five-SeveN | Buddy,CS20 Case,Restricted,17.0,FN,BUFF,,False,Classified,10.0,159.33333333333334,崭新,13.543333333333333,17.0,-3.456666666666667,-0.20333333333333337
