name,series,tier,price,exterior,platform,float,stattrak,next_tier,K,avg_out_next,best_exterior,value_per_item,buy_cost,margin,profit_ratio
FAMAS | Hexane,CSGO Weapon Case 2,Mil-Spec,16.7,FT,BUFF,,False,Restricted,10.0,,久经,,16.7,,
FAMAS | Hexane,CSGO Weapon Case 2,Mil-Spec,18.15,MW,YOUPIN,,False,Restricted,10.0,,久经,,18.15,,
FAMAS | Hexane,CSGO Weapon Case 2,Mil-Spec,24.5,WW,BUFF,,False,Restricted,10.0,,久经,,24.5,,
FAMAS | Meow 36,Recoil Case,Mil-Spec,6.59,FN,YOUPIN,,False,Restricted,10.0,,崭新,,6.59,,
FAMAS | Neural Net,Falchion Case,Restricted,8.12,BS,C5,,False,Classified,10.0,,久经,,8.12,,
FAMAS | Neural Net,Falchion Case,Restricted,66.0,FN,BUFF,,False,Classified,10.0,,久经,,66.0,,
FAMAS | Neural Net,Falchion Case,Restricted,7.66,FT,YOUPIN,,False,Classified,10.0,,久经,,7.66,,
FAMAS | Neural Net,Falchion Case,Restricted,13.69,MW,YOUPIN,,False,Classified,10.0,,久经,,13.69,,
FAMAS | Neural Net,Falchion Case,Restricted,12.89,WW,YOUPIN,,False,Classified,10.0,,久经,,12.89,,
FAMAS | Valence,Operation Wildfire Case,Restricted,24.6,BS,YOUPIN,,False,Classified,10.0,,战痕,,24.6,,
FAMAS | Valence,Operation Wildfire Case,Restricted,255.5,FN,YOUPIN,,False,Classified,10.0,,战痕,,255.5,,
FAMAS | Valence,Operation Wildfire Case,Restricted,24.9,FT,YOUPIN,,False,Classified,10.0,,战痕,,24.9,,
FAMAS | Valence,Operation Wildfire Case,Restricted,56.51,MW,YOUPIN,,False,Classified,10.0,,战痕,,56.51,,
FAMAS | Valence,Operation Wildfire Case,Restricted,29.5,WW,YOUPIN,,False,Classified,10.0,,战痕,,29.5,,
Five-SeveN | Kami,Winter Offensive Weapon Case,Mil-Spec,25.0,FN,C5,,False,Restricted,10.0,,久经,,25.0,,
Five-SeveN | Kami,Winter Offensive Weapon Case,Mil-Spec,12.99,FT,YOUPIN,,False,Restricted,10.0,,久经,,12.99,,
Five-SeveN | Kami,Winter Offensive Weapon Case,Mil-Spec,16.0,MW,BUFF,,False,Restricted,10.0,,久经,,16.0,,
G3SG1 | High Seas,Horizon Case,Restricted,4.96,BS,BUFF,,False,Classified,10.0,,战痕,,4.96,,
G3SG1 | High Seas,Horizon Case,Restricted,62.88,FN,BUFF,,False,Classified,10.0,,战痕,,62.88,,
G3SG1 | High Seas,Horizon Case,Restricted,5.0,FT,YOUPIN,,False,Classified,10.0,,战痕,,5.0,,
G3SG1 | High Seas,Horizon Case,Restricted,11.7,MW,BUFF,,False,Classified,10.0,,战痕,,11.7,,
G3SG1 | High Seas,Horizon Case,Restricted,5.49,WW,YOUPIN,,False,Classified,10.0,,战痕,,5.49,,
G3SG1 | Keeping Tabs,Operation Riptide Case,Mil-Spec,23.36,FN,BUFF,,False,Restricted,10.0,,久经,,23.36,,
G3SG1 | Keeping Tabs,Operation Riptide Case,Mil-Spec,5.23,FT,BUFF,,False,Restricted,10.0,,久经,,5.23,,
G3SG1 | Keeping Tabs,Operation Riptide Case,Mil-Spec,11.59,MW,BUFF,,False,Restricted,10.0,,久经,,11.59,,
Galil AR | Crimson Tsunami,Spectrum Case,Restricted,13.0,BS,BUFF,,False,Classified,10.0,,久经,,13.0,,
Galil AR | Crimson Tsunami,Spectrum Case,Restricted,51.95,FN,YOUPIN,,False,Classified,10.0,,久经,,51.95,,
Galil AR | Crimson Tsunami,Spectrum Case,Restricted,12.8,FT,YOUPIN,,False,Classified,10.0,,久经,,12.8,,
Galil AR | Crimson Tsunami,Spectrum Case,Restricted,22.4,MW,C5,,False,Classified,10.0,,久经,,22.4,,
Galil AR | Crimson Tsunami,Spectrum Case,Restricted,17.89,WW,BUFF,,False,Classified,10.0,,久经,,17.89,,
Glock-18 | Royal Legion,Operation Wildfire Case,Restricted,26.78,BS,YOUPIN,,False,Classified,10.0,,久经,,26.78,,
Glock-18 | Royal Legion,Operation Wildfire Case,Restricted,438.9,FN,YOUPIN,,False,Classified,10.0,,久经,,438.9,,
Glock-18 | Royal Legion,Operation Wildfire Case,Restricted,23.18,FT,YOUPIN,,False,Classified,10.0,,久经,,23.18,,
Glock-18 | Royal Legion,Operation Wildfire Case,Restricted,69.0,MW,YOUPIN,,False,Classified,10.0,,久经,,69.0,,
Glock-18 | Royal Legion,Operation Wildfire Case,Restricted,29.39,WW,BUFF,,False,Classified,10.0,,久经,,29.39,,
Glock-18 | Umbral Rabbit,Revolution Case,Restricted,3.1,BS,BUFF,,False,Classified,10.0,,战痕,,3.1,,
Glock-18 | Umbral Rabbit,Revolution Case,Restricted,18.55,FN,YOUPIN,,False,Classified,10.0,,战痕,,18.55,,
Glock-18 | Umbral Rabbit,Revolution Case,Restricted,3.89,FT,YOUPIN,,False,Classified,10.0,,战痕,,3.89,,
Glock-18 | Umbral Rabbit,Revolution Case,Restricted,6.3,MW,C5,,False,Classified,10.0,,战痕,,6.3,,
Glock-18 | Umbral Rabbit,Revolution Case,Restricted,3.4,WW,YOUPIN,,False,Classified,10.0,,战痕,,3.4,,
M249 | Magma,Winter Offensive Weapon Case,Mil-Spec,5.98,BS,YOUPIN,,False,Restricted,10.0,,战痕,,5.98,,
M249 | Magma,Winter Offensive Weapon Case,Mil-Spec,18.6,FN,BUFF,,False,Restricted,10.0,,战痕,,18.6,,
M249 | Magma,Winter Offensive Weapon Case,Mil-Spec,6.38,FT,BUFF,,False,Restricted,10.0,,战痕,,6.38,,
M249 | Magma,Winter Offensive Weapon Case,Mil-Spec,12.68,MW,C5,,False,Restricted,10.0,,战痕,,12.68,,
